county_id,county_name,province_id,center_name,latitude,longitude,source_id
1000001,اراک,100,اراک,34.09493,49.69809,geonames-iran-2026-09-19
1000002,آشتیان,100,آشتیان,34.52298,50.00608,geonames-iran-2026-09-19
1000003,تفرش,100,تفرش,34.69307,50.01601,geonames-iran-2026-09-19
1000004,خمین,100,خمین,33.63889,50.08003,geonames-iran-2026-09-19
1000005,دلیجان,100,دلیجان,33.99050,50.68380,geonames-iran-2026-09-19
1000006,ساوه,100,ساوه,35.02130,50.35660,geonames-iran-2026-09-19
1000007,شازند,100,شازند,33.93132,49.40629,geonames-iran-2026-09-19
1000009,محلات,100,محلات,33.91108,50.45317,geonames-iran-2026-09-19
1010001,آستارا,101,آستارا,38.43084,48.86994,geonames-iran-2026-09-19
1010002,آستانه اشرفیه,101,آستانه اشرفیه,37.26318,49.94325,geonames-iran-2026-09-19
1010003,بندرانزلی,101,بندرانزلی,37.47318,49.45785,geonames-iran-2026-09-19
1010004,طوالش,101,هشتپر (تالش),37.79658,48.90521,geonames-iran-2026-09-19
1010005,رشت,101,رشت,37.27611,49.58862,geonames-iran-2026-09-19
1010006,رودبار,101,رودبار,36.82110,49.42640,geonames-iran-2026-09-19
1010007,رودسر,101,رودسر,37.13696,50.29174,geonames-iran-2026-09-19
1010008,صومعه سرا,101,صومعه سرا,37.30134,49.31504,geonames-iran-2026-09-19
1010009,فومن,101,فومن,37.22400,49.31250,geonames-iran-2026-09-19
1020001,آمل,102,آمل,36.46961,52.35072,geonames-iran-2026-09-19
1020002,بابل,102,بابل,36.55102,52.67860,geonames-iran-2026-09-19
1020004,بهشهر,102,بهشهر,36.69235,53.55262,geonames-iran-2026-09-19
1020005,تنکابن,102,تنکابن,36.81626,50.87376,geonames-iran-2026-09-19
1020006,رامسر,102,رامسر,36.91796,50.64802,geonames-iran-2026-09-19
1020007,ساری,102,ساری,36.56332,53.06009,geonames-iran-2026-09-19
1020008,سوادکوه,102,پل سفید,36.11787,53.05531,geonames-iran-2026-09-19
1030002,اهر,103,اهر,38.47740,47.06990,geonames-iran-2026-09-19
1030003,تبریز,103,تبریز,38.08000,46.29190,geonames-iran-2026-09-19
